ADM_RATE,SAT_AVG,C150_4,UGDS_WOMEN,STUFACR
0.7661,1298.0,0.7194,0.5422,15.0
0.5269,1446.0,0.8728,0.3015,12.0
0.8454,1154.0,0.762,0.6064,17.0
0.6198,1270.0,0.8691,0.5733,13.0
0.325,1002.0,0.3993,0.6075,16.0
0.9672,1233.0,0.5526,0.3056,10.0
0.9727,1135.0,0.5358,0.5859,13.0
0.5726,1040.0,0.5041,0.5782,15.0
0.7746,1200.0,0.7089,0.6921,12.0
0.7182,1295.0,0.6828,0.6479,7.0
0.6716,1188.0,0.5991,0.5137,9.0
0.8146,1174.0,0.7062,0.5102,12.0
0.7458,1289.0,0.756,0.3072,13.0
0.1719,1448.0,0.9027,0.5511,9.0
0.0413,1528.0,0.9736,0.4939,6.0
0.0869,1510.0,0.9414,0.539,9.0
0.9245,1135.0,0.6426,0.7478,7.0
0.756,1058.0,0.4353,0.6622,12.0
0.583,1402.0,0.8316,0.5895,14.0
0.9264,1006.0,0.5724,0.5671,12.0
0.6743,1285.0,0.7306,0.5143,9.0
0.6776,1288.0,0.6971,0.5705,13.0
0.7907,1193.0,0.6461,0.6314,12.0
0.9256,1176.0,0.6189,0.5257,15.0
0.5043,1449.0,0.8718,0.5625,7.0
0.9364,1144.0,0.5016,0.7433,12.0
0.734,1224.0,0.7575,0.6202,12.0
0.9332,1219.0,0.468,0.6832,13.0
0.8294,1161.0,0.6125,0.6078,9.0
0.5995,1282.0,0.8172,0.5768,16.0
0.8578,1061.0,0.4962,0.7005,15.0
0.7933,1235.0,0.7007,0.7214,10.0
0.9145,1087.0,0.6247,0.716,11.0
0.8211,1102.0,0.5639,0.771,15.0
0.1296,1507.0,0.8687,0.5822,8.0
0.922,1160.0,0.7049,0.6444,11.0
0.8035,1218.0,0.5573,0.4042,12.0
0.9965,989.0,0.4009,0.5836,15.0
0.8762,1219.0,0.5909,0.6598,15.0
0.6786,1315.0,0.7134,0.7222,10.0
0.5302,1450.0,0.8419,0.3096,13.0
0.8739,1154.0,0.6356,0.6866,13.0
0.7136,1369.0,0.6898,0.3396,13.0
0.4055,1455.0,0.8586,0.5157,10.0
0.7811,1174.0,0.7103,0.4512,11.0
0.8525,1121.0,0.5235,0.6447,15.0
0.5655,1326.0,0.8186,0.5375,11.0
0.892,1159.0,0.5551,0.4653,17.0
0.5847,1376.0,0.7649,0.7825,11.0
0.7977,1165.0,0.7081,0.6906,12.0
0.711,1196.0,0.7301,0.5808,11.0
0.8514,1210.0,0.6821,0.5554,16.0
0.7251,1106.0,0.5346,0.4096,17.0
0.6799,1190.0,0.6627,0.5352,18.0
0.4415,1398.0,0.8382,0.5129,19.0
0.7009,1276.0,0.7378,0.4576,13.0
0.4806,1393.0,0.7766,0.5099,19.0
0.7725,1229.0,0.6542,0.3015,13.0
0.7645,1147.0,0.6319,0.5999,15.0
0.8454,1045.0,0.412,0.5677,15.0
0.605,1169.0,0.6491,0.5608,15.0
0.9075,1197.0,0.6198,0.5839,13.0
0.7385,1250.0,0.7611,0.6362,16.0
0.4614,1243.0,0.7334,0.6333,15.0
0.7965,1182.0,0.6637,0.5275,16.0
0.7541,1242.0,0.635,0.5898,13.0
0.7657,1165.0,0.4812,0.6029,15.0
0.6796,1154.0,0.6466,0.5987,16.0
0.7405,1201.0,0.7365,0.1415,15.0
0.5919,1328.0,0.8245,0.5472,14.0
0.2521,1252.0,0.8118,0.2167,13.0
0.8469,1255.0,0.7274,0.5675,17.0
0.986,1054.0,0.5183,0.5158,13.0
0.8725,1124.0,0.5596,0.5249,14.0
0.0589,1516.0,0.9587,0.5162,6.0
0.7679,951.0,0.3977,0.5855,16.0
0.8206,923.0,0.3732,0.7054,15.0
